,Type,Sex,Size,Intake Type,Intake Subtype,Intake Jurisdiction,PredomBreed,PredomColor,IntakeAgeYrs,Type Sex,Type Size,Type Intake Type,Type Intake Subtype,Type Intake Jurisdiction,Type PredomBreed,Type PredomColor,Type IntakeAgeYrs,Sex Size,Sex Intake Type,Sex Intake Subtype,Sex Intake Jurisdiction,Sex PredomBreed,Sex PredomColor,Sex IntakeAgeYrs,Size Intake Type,Size Intake Subtype,Size Intake Jurisdiction,Size PredomBreed,Size PredomColor,Size IntakeAgeYrs,Intake Type Intake Subtype,Intake Type Intake Jurisdiction,Intake Type PredomBreed,Intake Type PredomColor,Intake Type IntakeAgeYrs,Intake Subtype Intake Jurisdiction,Intake Subtype PredomBreed,Intake Subtype PredomColor,Intake Subtype IntakeAgeYrs,Intake Jurisdiction PredomBreed,Intake Jurisdiction PredomColor,Intake Jurisdiction IntakeAgeYrs,PredomBreed PredomColor,PredomBreed IntakeAgeYrs,PredomColor IntakeAgeYrs,Outcome Type
10048,1.0,3.0,4.0,4.0,2.0,8.0,15.0,18.0,5.0,3.0,4.0,4.0,2.0,8.0,15.0,18.0,5.0,12.0,12.0,6.0,24.0,45.0,54.0,15.0,16.0,8.0,32.0,60.0,72.0,20.0,8.0,32.0,60.0,72.0,20.0,16.0,30.0,36.0,10.0,120.0,144.0,40.0,270.0,75.0,90.0,3
10049,1.0,2.0,1.0,4.0,13.0,8.0,42.0,13.0,4.9,2.0,1.0,4.0,13.0,8.0,42.0,13.0,4.9,2.0,8.0,26.0,16.0,84.0,26.0,9.8,4.0,13.0,8.0,42.0,13.0,4.9,52.0,32.0,168.0,52.0,19.6,104.0,546.0,169.0,63.7,336.0,104.0,39.2,546.0,205.8,63.7,2
10050,0.0,3.0,0.0,4.0,1.0,8.0,22.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,24.0,66.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,88.0,0.0,0.64,8.0,22.0,0.0,0.16,176.0,0.0,1.28,0.0,3.52,0.0,0
10051,1.0,2.0,1.0,4.0,2.0,8.0,55.0,0.0,2.0,2.0,1.0,4.0,2.0,8.0,55.0,0.0,2.0,2.0,8.0,4.0,16.0,110.0,0.0,4.0,4.0,2.0,8.0,55.0,0.0,2.0,8.0,32.0,220.0,0.0,8.0,16.0,110.0,0.0,4.0,440.0,0.0,16.0,0.0,110.0,0.0,0
10052,0.0,1.0,0.0,4.0,13.0,8.0,22.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,8.0,22.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,52.0,32.0,88.0,0.0,0.24,104.0,286.0,0.0,0.78,176.0,0.0,0.48,0.0,1.3199999999999998,0.0,3
10053,0.0,2.0,4.0,4.0,1.0,8.0,22.0,9.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,16.0,44.0,18.0,5.78,16.0,4.0,32.0,88.0,36.0,11.56,4.0,32.0,88.0,36.0,11.56,8.0,22.0,9.0,2.89,176.0,72.0,23.12,198.0,63.580000000000005,26.01,0
10054,0.0,2.0,4.0,4.0,13.0,12.0,22.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,26.0,24.0,44.0,4.0,24.0,16.0,52.0,48.0,88.0,8.0,48.0,52.0,48.0,88.0,8.0,48.0,156.0,286.0,26.0,156.0,264.0,24.0,144.0,44.0,264.0,24.0,2
10055,1.0,2.0,2.0,4.0,2.0,8.0,42.0,0.0,3.95,2.0,2.0,4.0,2.0,8.0,42.0,0.0,3.95,4.0,8.0,4.0,16.0,84.0,0.0,7.9,8.0,4.0,16.0,84.0,0.0,7.9,8.0,32.0,168.0,0.0,15.8,16.0,84.0,0.0,7.9,336.0,0.0,31.6,0.0,165.9,0.0,0
10056,1.0,1.0,1.0,4.0,2.0,10.0,25.0,2.0,1.44,1.0,1.0,4.0,2.0,10.0,25.0,2.0,1.44,1.0,4.0,2.0,10.0,25.0,2.0,1.44,4.0,2.0,10.0,25.0,2.0,1.44,8.0,40.0,100.0,8.0,5.76,20.0,50.0,4.0,2.88,250.0,20.0,14.399999999999999,50.0,36.0,2.88,2
10057,0.0,3.0,0.0,4.0,13.0,8.0,22.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,24.0,66.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,52.0,32.0,88.0,0.0,1.0,104.0,286.0,0.0,3.25,176.0,0.0,2.0,0.0,5.5,0.0,0
